Address,Latitude,Longitude
"Miami, Miami-Dade",25.7617,- 80.1918
"Hialeah, Miami-Dade",25.8576,- 80.2781
"Fort Lauderdale, Broward",26.1224,- 80.1373
"Port St. Lucie, St. Lucie",27.2730,- 80.3582
"Pembroke Pines, Broward",26.0078,- 80.2963
"Hollywood, Broward",26.0112,- 80.1495
"Miramar, Broward",25.9861,- 80.3036
"Coral Springs, Broward",26.2712,- 80.2706
"Miami Gardens, Miami-Dade",25.9420,- 80.2456
"West Palm Beach, Palm Beach",26.7153,- 80.0534
"Pompano Beach, Broward",26.2379,- 80.1248
"Davie, Broward",26.0765,- 80.2521
"Miami Beach, Miami-Dade",25.7907,- 80.1300
"Plantation, Broward",26.1276,- 80.2331
"Sunrise, Broward",26.1670,- 80.2566
"Boca Raton, Palm Beach",26.3683,- 80.1289
"Deerfield Beach, Broward",26.3184,- 80.0998
"Boynton Beach, Palm Beach",26.5318,- 80.0905
"Lauderhill, Broward",26.1404,- 80.2134
"Weston, Broward",26.1004,- 80.3998
"Delray Beach, Palm Beach",26.4615,- 80.0728
"Homestead, Miami-Dade",25.4687,- 80.4776
"Tamarac, Broward",26.2129,- 80.2498
"North Miami, Miami-Dade",25.8901,- 80.1867
"Wellington, Palm Beach",26.6618,- 80.2684
"Jupiter, Palm Beach",26.9342,- 80.0942
"Margate, Broward",26.2445,- 80.2064
"Coconut Creek, Broward",26.2517,- 80.1789